file;line;hex;nearest_target_class;nearest_target_distance;context
src/styles.css;2491;#8A5A63;Dauerkultur / Sondernutzung;59.03;"egend-thuenen-nh { background: #2F6B4F; } .legend-thuenen-tief-hh { background: #8A5A63; } .legend-thuenen-tief-nh { background: #1F7A5C; } .legend-thuenen-flach-hh {"
src/styles.css;2492;#1F7A5C;Grünland;69.72;"-thuenen-tief-hh { background: #8A5A63; } .legend-thuenen-tief-nh { background: #1F7A5C; } .legend-thuenen-flach-hh { background: #9B7F8D; } .legend-thuenen-flach-nh {"
src/styles.css;2493;#9B7F8D;Dauerkultur / Sondernutzung;43.39;"thuenen-tief-nh { background: #1F7A5C; } .legend-thuenen-flach-hh { background: #9B7F8D; } .legend-thuenen-flach-nh { background: #6F9A78; } .legend-thuenen-maechtig-h"
src/styles.css;2494;#6F9A78;Grünland;49.93;"huenen-flach-hh { background: #9B7F8D; } .legend-thuenen-flach-nh { background: #6F9A78; } .legend-thuenen-maechtig-hh { background: #B08B6C; } .legend-thuenen-maechti"
src/styles.css;2495;#B08B6C;Ackerland;58.27;"nen-flach-nh { background: #6F9A78; } .legend-thuenen-maechtig-hh { background: #B08B6C; } .legend-thuenen-maechtig-nh { background: #B7A15A; } /* B51 hard central ma"
src/styles.css;2496;#B7A15A;Ackerland;59.88;"-maechtig-hh { background: #B08B6C; } .legend-thuenen-maechtig-nh { background: #B7A15A; } /* B51 hard central map layer fallback. JS controller is authoritative. */"
src/styles.css;2527;#2F6B4F;Grünland;60.21;"legend-thuenen-extent, [data-map-legend] .legend-thuenen-extent { background: #2F6B4F !important; background-color: #2F6B4F !important; } .central-map-legend .leg"
src/styles.css;2528;#2F6B4F;Grünland;60.21;".legend-thuenen-extent { background: #2F6B4F !important; background-color: #2F6B4F !important; } .central-map-legend .legend-thuenen-hh, .central-stage-legend .l"
src/styles.css;2536;#6E4B78;Dauerkultur / Sondernutzung;50.69;"egend] .legend-thuenen-hh, [data-map-legend] .legend-thuenen-hh { background: #6E4B78 !important; background-color: #6E4B78 !important; } .central-map-legend .leg"
src/styles.css;2537;#6E4B78;Dauerkultur / Sondernutzung;50.69;"end] .legend-thuenen-hh { background: #6E4B78 !important; background-color: #6E4B78 !important; } .central-map-legend .legend-thuenen-mf, .central-stage-legend .l"
